county_name,state_code,district_code
Coffey,KS,KSX
Coke,TX,TXN
Colbert,AL,ALN
Cole,MO,MOW
Coleman,TX,TXN
Coles,IL,ILC
Colfax,NE,NEX
Colfax,NM,NMX
Colleton,SC,SCX
Collier,FL,FLM
Collin,TX,TXE
Collingsworth,TX,TXN
"Colonial Heights City",VA,VAE
Colorado,TX,TXS
Colquitt,GA,GAM
Columbia,AR,ARW
Columbia,FL,FLM
Columbia,GA,GAS
Columbia,NY,NYN
Columbia,OR,ORX
Columbia,PA,PAM
Columbia,WA,WAE
Columbia,WI,WIW
Columbiana,OH,OHN
Columbus,NC,NCE
Colusa,CA,CAE
Comal,TX,TXW
Comanche,KS,KSX
Comanche,OK,OKW
Comanche,TX,TXN
Concho,TX,TXN
Concordia,LA,LAW
Conecuh,AL,ALS
Conejos,CO,COX
"Contra Costa",CA,CAN
Converse,WY,WYX
Conway,AR,ARE
Cook,GA,GAM
Cook,IL,ILN
Cook,MN,MNX
Cooke,TX,TXE
Cooper,MO,MOW
Coos,NH,NHX
Coos,OR,ORX
Coosa,AL,ALM
Copiah,MS,MSS
Corson,SD,SDX
Cortland,NY,NYN
Coryell,TX,TXW
Coshocton,OH,OHS
Costilla,CO,COX
Cottle,TX,TXN
Cotton,OK,OKW
Cottonwood,MN,MNX
Covington,AL,ALM
Covington,MS,MSS
"Covington City",VA,VAW
Coweta,GA,GAN
Cowley,KS,KSX
Cowlitz,WA,WAW
Craig,OK,OKN
Craig,VA,VAW
Craighead,AR,ARE
Crane,TX,TXW
Craven,NC,NCE
Crawford,AR,ARW
Crawford,GA,GAM
Crawford,IA,IAN
Crawford,IL,ILS
Crawford,IN,INS
Crawford,KS,KSX
Crawford,MI,MIE
Crawford,MO,MOE
Crawford,OH,OHN
Crawford,PA,PAW
Crawford,WI,WIW
Creek,OK,OKN
Crenshaw,AL,ALM
Crisp,GA,GAM
Crittenden,AR,ARE
Crittenden,KY,KYW
Crockett,TN,TNW
Crockett,TX,TXN
Crook,OR,ORX
Crook,WY,WYX
Crosby,TX,TXN
Cross,AR,ARE
"Crow Wing",MN,MNX
Crowley,CO,COX
Culberson,TX,TXW
Cullman,AL,ALN
Culpeper,VA,VAW
Cumberland,IL,ILS
Cumberland,KY,KYW
Cumberland,ME,MEX
Cumberland,NC,NCE
Cumberland,NJ,NJX
Cumberland,PA,PAM
Cumberland,TN,TNM
Cumberland,VA,VAW
Cuming,NE,NEX
Currituck,NC,NCE
Curry,NM,NMX
Curry,OR,ORX
Custer,CO,COX
Custer,ID,IDX
Custer,MT,MTX
Custer,NE,NEX
Custer,OK,OKW
Custer,SD,SDX
Cuyahoga,OH,OHN
Dade,GA,GAN
Dade,MO,MOW
Daggett,UT,UTX
Dakota,MN,MNX
Dakota,NE,NEX
Dale,AL,ALM
Dallam,TX,TXN
Dallas,AL,ALS
Dallas,AR,ARE
Dallas,IA,IAS
Dallas,MO,MOW
Dallas,TX,TXN
Dane,WI,WIW
Daniels,MT,MTX
"Danville City",VA,VAW
Dare,NC,NCE
Darke,OH,OHS
Darlington,SC,SCX
Dauphin,PA,PAM
Davidson,NC,NCM
Davidson,TN,TNM
Davie,NC,NCM
Daviess,IN,INS
Daviess,KY,KYW
Daviess,MO,MOW
Davis,IA,IAS
Davis,UT,UTX
Davison,SD,SDX
Dawes,NE,NEX
Dawson,GA,GAN
Dawson,MT,MTX
Dawson,NE,NEX
Dawson,TX,TXN
Day,SD,SDX
"De Kalb",IN,INN
"De Soto",LA,LAW
"De Witt",IL,ILC
"Deaf Smith",TX,TXN
Dearborn,IN,INS
DeBaca,NM,NMX
Decatur,GA,GAM
Decatur,IA,IAS
Decatur,IN,INS
Decatur,KS,KSX
Decatur,TN,TNW
"Deer Lodge",MT,MTX
Defiance,OH,OHN
DeKalb,AL,ALN
DeKalb,GA,GAN
DeKalb,IL,ILN
DeKalb,MO,MOW
DeKalb,TN,TNM
"Del Norte",CA,CAN
Delaware,IA,IAN
Delaware,IN,INS
Delaware,NY,NYN
Delaware,OH,OHS
Delaware,OK,OKN
Delaware,PA,PAE
Delta,CO,COX
Delta,MI,MIW
Delta,TX,TXE
Denali,AK,AKX
Dent,MO,MOE
Denton,TX,TXE
Denver,CO,COX
"Des Moines",IA,IAS
Deschutes,OR,ORX
Desha,AR,ARE
DeSoto,FL,FLM
DeSoto,MS,MSN
Deuel,NE,NEX
Deuel,SD,SDX
Dewey,OK,OKW
Dewey,SD,SDX
DeWitt,TX,TXS
Dickens,TX,TXN
Dickenson,VA,VAW
Dickey,ND,NDX
Dickinson,IA,IAN
Dickinson,KS,KSX
Dickinson,MI,MIW
Dickson,TN,TNM
Dillon,SC,SCX
Dimmit,TX,TXW
Dinwiddie,VA,VAE
"District of Columbia",DC,DCX
Divide,ND,NDX
Dixie,FL,FLN
Dixon,NE,NEX
Doddridge,WV,WVN
Dodge,GA,GAS
Dodge,MN,MNX
Dodge,NE,NEX
Dodge,WI,WIE
Dolores,CO,COX
"Dona Ana",NM,NMX
Doniphan,KS,KSX
Donley,TX,TXN
Dooly,GA,GAM
Door,WI,WIE
Dorchester,MD,MDX
Dorchester,SC,SCX
Dougherty,GA,GAM
Douglas,CO,COX
Douglas,GA,GAN
Douglas,IL,ILC
Douglas,KS,KSX
Douglas,MN,MNX
Douglas,MO,MOW
Douglas,NE,NEX
Douglas,NV,NVX
Douglas,OR,ORX
Douglas,SD,SDX
Douglas,WA,WAE
Douglas,WI,WIW
Drew,AR,ARE
Dubois,IN,INS
Dubuque,IA,IAN
Duchesne,UT,UTX
Dukes,MA,MAX
Dundy,NE,NEX
Dunklin,MO,MOE
Dunn,ND,NDX
Dunn,WI,WIW
DuPage,IL,ILN
Duplin,NC,NCE
Durham,NC,NCM
Dutchess,NY,NYS
Duval,FL,FLM
Duval,TX,TXS
Dyer,TN,TNW
Eagle,CO,COX
Early,GA,GAM
"East Baton Rouge",LA,LAM
"East Carroll",LA,LAW
"East Feliciana",LA,LAM
Eastland,TX,TXN
Eaton,MI,MIW
"Eau Claire",WI,WIW
Echols,GA,GAM
Ector,TX,TXW
Eddy,ND,NDX
Eddy,NM,NMX
Edgar,IL,ILC
Edgecombe,NC,NCE
Edgefield,SC,SCX
Edmonson,KY,KYW
Edmunds,SD,SDX
Edwards,IL,ILS
Edwards,KS,KSX
Edwards,TX,TXW
Effingham,GA,GAS
Effingham,IL,ILS
"El Dorado",CA,CAE
"El Paso",CO,COX
"El Paso",TX,TXW
Elbert,CO,COX
Elbert,GA,GAM
Elk,KS,KSX
Elk,PA,PAW
Elkhart,IN,INN
Elko,NV,NVX
Elliott,KY,KYE
Ellis,KS,KSX
Ellis,OK,OKW
Ellis,TX,TXN
Ellsworth,KS,KSX
Elmore,AL,ALM
Elmore,ID,IDX
Emanuel,GA,GAS
Emery,UT,UTX
Emmet,IA,IAN
Emmet,MI,MIW
Emmons,ND,NDX
"Emporia City",VA,VAE
Erath,TX,TXN
Erie,NY,NYW
Erie,OH,OHN
Erie,PA,PAW
Escambia,AL,ALS
